FZ,C3,CZ,C4,PZ,PO7,OZ,PO8,Counter,Validation
151876.171875,152076.1875,152247.484375,152385.53125,152215.65625,152262.0625,152467.609375,152276.8125,4889.0,0.0
148368.921875,148567.21875,148741.296875,148875.953125,148707.859375,148752.921875,148958.015625,148768.5625,4890.0,1.0
148368.921875,148567.21875,148741.296875,148875.953125,148707.859375,148752.921875,148958.015625,148768.5625,4891.0,0.0
155312.265625,155513.96875,155682.59375,155823.234375,155651.828125,155699.671875,155905.65625,155713.703125,4892.0,1.0
155312.265625,155513.96875,155682.59375,155823.234375,155651.828125,155699.671875,155905.65625,155713.703125,4893.0,0.0
147707.578125,147905.609375,148079.515625,148213.890625,148046.515625,148090.953125,148296.40625,148107.046875,4894.0,1.0
147707.578125,147905.609375,148079.515625,148213.890625,148046.515625,148090.953125,148296.40625,148107.046875,4895.0,0.0
153062.78125,153263.765625,153433.46875,153572.3125,153402.0,153449.109375,153654.390625,153463.515625,4896.0,1.0
153062.78125,153263.765625,153433.46875,153572.3125,153402.0,153449.109375,153654.390625,153463.515625,4897.0,0.0
152092.09375,152292.546875,152462.953125,152600.828125,152431.125,152477.4375,152683.25,152492.640625,4898.0,1.0
152092.09375,152292.546875,152462.953125,152600.828125,152431.125,152477.4375,152683.25,152492.640625,4899.0,0.0
148397.796875,148596.453125,148769.828125,148904.640625,148736.65625,148781.796875,148986.8125,148797.71875,4900.0,1.0
148397.796875,148596.453125,148769.828125,148904.640625,148736.65625,148781.796875,148986.8125,148797.71875,4901.0,0.0
155441.90625,155644.40625,155812.59375,155953.40625,155782.09375,155830.203125,156035.84375,155843.875,4902.0,1.0
155441.90625,155644.40625,155812.59375,155953.40625,155782.09375,155830.203125,156035.84375,155843.875,4903.0,0.0
147882.1875,148080.671875,148254.203125,148388.59375,148221.125,148265.5625,148471.015625,148282.015625,4904.0,1.0
147882.1875,148080.671875,148254.203125,148388.59375,148221.125,148265.5625,148471.015625,148282.015625,4905.0,0.0
153074.140625,153275.21875,153445.265625,153584.203125,153413.984375,153460.640625,153667.0,153475.671875,4906.0,1.0
153074.140625,153275.21875,153445.265625,153584.203125,153413.984375,153460.640625,153667.0,153475.671875,4907.0,0.0
